structure1_set,structure2_set,Connection,class_2
灰色,鳞片形态规则,,1
棕色,鳞片形态规则,,1
白色,鳞片形态规则,,1
鳞片形态规则,鳞片薄,,1
鳞片多数呈环状，少数呈不规则环状,鳞片薄,,1
鳞片薄,鳞片平整有序,,1
鳞片平整有序,表面光泽明亮,,1
鳞片间距大,表面光泽明亮,,1
表面光泽明亮,表面光滑,,1
表面光滑,纤维直径一般,,1
纤维直径一般,无髓质,,1
无髓质,中国产羊绒,98,1
彩色,鳞片模糊,,2
鳞片模糊,鳞片薄,,2
鳞片呈块状图案,鳞片薄,,2
鳞片薄,鳞片平整有序,,2
鳞片平整有序,表面色素少,,2
表面色素少,表面光滑,,2
表面光滑,纤维直径较厚,,2
纤维直径较厚,无髓质,,2
无髓质,蒙古产羊绒,95,2
白色,鳞片模糊,,3
彩色,鳞片模糊,,3
棕色,鳞片模糊,,3
灰色,鳞片模糊,,3
黄色,鳞片模糊,,3
紫色,鳞片模糊,,3
黑色,鳞片模糊,,3
鳞片模糊,鳞片薄,,3
鳞片呈块状图案,鳞片薄,,3
鳞片薄,鳞片平整有序,,3
鳞片平整有序,表面色素少,,3
表面色素少,表面光滑,,3
表面光滑,纤维直径较厚,,3
纤维直径较厚,无髓质,,3
无髓质,伊朗和阿富汗的羊绒,90,3
灰色,鳞片形态规则,,4
棕色,鳞片形态规则,,4
白色,鳞片形态规则,,4
鳞片形态规则,鳞片薄,,4
鳞片多数呈环状，少数呈不规则环状,鳞片薄,,4
鳞片薄,鳞片平整有序,,4
鳞片平整有序,表面光泽明亮,,4
鳞片间距大,表面光泽明亮,,4
表面光泽明亮,表面光滑,,4
表面光滑,纤维直径小,,4
纤维直径小,无髓质,,4
无髓质,中国本土细羊毛,,4
棕色,鳞片形态规则,,5
鳞片形态规则,鳞片薄,,5
鳞片多数呈环状，少数呈不规则环状,鳞片薄,,5
鳞片薄,鳞片平整有序,,5
鳞片平整有序,表面光泽明亮,,5
鳞片间距大,表面光泽明亮,,5
表面光泽明亮,表面光滑,,5
表面光滑,纤维直径一般,,5
纤维直径一般,无髓质,,5
无髓质,黑羊羊毛,86,5
白色,鳞片形态规则,,6
棕色,鳞片形态规则,,6
鳞片形态规则,鳞片薄,,6
鳞片多数呈环状，少数呈不规则环状,鳞片薄,,6
鳞片薄,鳞片频率高,,6
鳞片频率高,表面光泽明亮,,6
鳞片间距大,表面光泽明亮,,6
表面光泽明亮,表面光滑,,6
表面光滑,纤维直径一般,,6
纤维直径一般,无髓质,,6
无髓质,澳大利亚美丽诺羊毛,85,6
白色,鳞片部分脱落,,7
棕色,鳞片部分脱落,,7
鳞片部分脱落,鳞片较厚,,7
鳞片较厚,鳞片间距大,,7
鳞片间距大,表面光泽明亮,,7
表面光泽明亮,表面光滑,,7
表面光滑,纤维直径一般,,7
纤维直径小,无髓质,,7
无髓质,改性羊毛,90,7
白色,鳞片模糊,,8
棕色,鳞片模糊,,8
黑色,鳞片模糊,,8
鳞片模糊,鳞片较厚,,8
鳞片高度一般,鳞片较厚,,8
鳞片较厚,鳞片无序,,8
鳞片无序,表面色素少,,8
表面色素少,表面粗糙度一般,,8
表面粗糙度一般,纤维直径小,,8
纤维直径小,无髓质,,8
无髓质,骆驼毛和脱色骆驼毛,81,8
棕色,鳞片形态规则,,9
黑色,鳞片形态规则,,9
鳞片形态规则,鳞片薄,,9
鳞片高度一般,鳞片薄,,9
鳞片薄,鳞片频率高,,9
鳞片频率高,表面光泽明亮,,9
鳞片紧密规则,表面光泽明亮,,9
表面光泽明亮,表面粗糙度一般,,9
表面粗糙度一般,纤维直径小,,9
纤维直径小,无髓质,,9
无髓质,牦牛和脱色牦牛毛,84,9
白色,鳞片形态规则,,10
棕色,鳞片形态规则,,10
黑色,鳞片形态规则,,10
鳞片形态规则,鳞片较厚,,10
鳞片高度高,鳞片较厚,,10
鳞片较厚,鳞片紧密规则,,10
鳞片紧密规则,表面光泽明亮,,10
表面光泽明亮,表面光滑,,10
表面光滑,纤维直径小,,10
纤维直径小,无髓质,,10
无髓质,马海毛,91,10
白色,鳞片形态规则,,11
棕色,鳞片形态规则,,11
鳞片形态规则,鳞片较厚,,11
鳞片高度高,鳞片较厚,,11
鳞片较厚,鳞片紧密规则,,11
鳞片紧密规则,表面光泽明亮,,11
表面光泽明亮,表面光滑,,11
表面光滑,纤维直径较厚,,11
纤维直径较厚,无髓质,,11
无髓质,俄罗斯的山羊毛,80,11
白色,鳞片形态规则,,12
棕色,鳞片形态规则,,12
鳞片形态规则,鳞片较厚,,12
鳞片呈人字形,鳞片较厚,,12
鳞片较厚,鳞片紧密规则,,12
鳞片紧密规则,表面光泽明亮,,12
表面光泽明亮,表面光滑,,12
表面光滑,纤维直径较厚,,12
纤维直径较厚,有髓质,,12
有髓质,兔毛,90,12
白色,鳞片形态规则,,13
棕色,鳞片形态规则,,13
鳞片形态规则,鳞片较厚,,13
鳞片较厚,鳞片紧密规则,,13
鳞片紧密规则,表面光泽明亮,,13
表面光泽明亮,表面粗糙度一般,,13
表面粗糙度一般,纤维直径一般,,13
纤维直径一般,有髓质,,13
有髓质,羊驼毛,80,13
