structure_id,structure_name,class_1
1,白色,颜色
2,彩色,颜色
3,棕色,颜色
4,灰色,颜色
5,黄色,颜色
6,紫色,颜色
7,黑色,颜色
8,鳞片形态规则,鳞片形态
9,鳞片高度高,鳞片形态
10,鳞片高度一般,鳞片形态
11,鳞片多数呈环状，少数呈不规则环状,鳞片形态
12,鳞片模糊,鳞片形态
13,鳞片呈块状图案,鳞片形态
14,鳞片呈人字形,鳞片形态
15,鳞片部分脱落,鳞片形态
16,鳞片清晰,鳞片形态
17,鳞片薄,鳞片厚度
18,鳞片较厚,鳞片厚度
19,鳞片平整有序,鳞片规则性
20,鳞片频率高,鳞片规则性
21,鳞片无序,鳞片规则性
22,鳞片间距大,鳞片规则性
23,鳞片紧密规则,鳞片规则性
24,表面光泽明亮,表面色泽
25,表面光泽一般,表面色泽
26,表面色素少,表面色泽
27,表面有亮斑,表面色泽
28,表面光滑,表面粗糙度
29,表面粗糙度一般,表面粗糙度
30,纤维直径小,纤维直径
31,纤维直径一般,纤维直径
32,纤维直径较厚,纤维直径
33,有髓质,髓质
34,无髓质,髓质
35,中国产羊绒,纤维
36,蒙古产羊绒,纤维
37,中国本土细羊毛,纤维
38,黑羊羊毛,纤维
39,澳大利亚美丽诺羊毛,纤维
40,改性羊毛,纤维
41,骆驼毛和脱色骆驼毛,纤维
42,牦牛和脱色牦牛毛,纤维
43,马海毛,纤维
44,俄罗斯的山羊毛,纤维
45,兔毛,纤维
46,羊驼毛,纤维
